brand_id,user_id,c999_id_value
5,4000004940,217248
5,4000004931,616500
5,4000004920,719739
2,781838,719721
2,780482,719707
5,4000004909,719699
2,781827,719698
2,781811,719655
5,4000004820,37460
2,781554,719241
2,781547,719233
2,781320,718862
5,4000004617,627022
5,4000004532,718187
2,780689,717779
2,780155,716903
5,4000004235,319095
2,780082,716814
5,4000004190,296556
5,4000004185,368891
2,779965,716597
5,4000004157,716562
2,779929,716508
5,4000004135,308273
2,779855,716415
2,779703,716067
2,779576,627925
5,4000003882,715628
2,779419,711453
2,779128,715173
5,4000003743,566535
5,4000003741,628144
2,779081,715101
5,4000003732,715030
2,779056,715016
2,778988,714915
5,4000003696,714881
2,778948,714847
2,778877,628110
5,4000003620,708474
5,4000003588,99616
2,778627,677040
5,4000003500,714125
2,778508,711965
2,778482,714062
2,778445,479204
2,778422,713956
5,4000002622,258234
2,778228,713672
2,778083,713455
5,4000003325,48666
5,4000003259,65508
5,4000003194,594135
5,4000003166,314347
5,4000003156,712525
5,4000003137,444373
5,4000003122,712355
5,4000003093,712263
2,777010,711716
2,776963,711659
2,776873,711491
2,776702,711187
2,776608,711069
5,4000002804,196837
2,776472,710860
5,4000002770,140129
5,4000002758,86401
5,4000002749,710602
5,4000002713,710461
2,776180,710420
5,4000002703,710395
5,4000002679,710211
5,4000002670,696524
5,4000002603,247131
2,775765,709707
2,775747,709688
5,4000002540,263954
5,4000002528,704309
5,4000002523,709407
5,4000002473,709238
2,775402,709141
5,4000002434,87873
2,775331,708991
5,4000002377,708743
2,775043,708568
5,4000002302,284275
2,774903,708363
2,774894,708326
5,4000002280,212349
2,774885,708307
2,774802,708179
5,4000002172,93577
2,774433,707590
2,774259,707342
5,4000002057,707293
2,774199,707264
1,1967071153,707246
2,774148,707198
2,774139,707184
5,4000002017,707111
2,773869,706737
1,1967070968,321757
5,4000001883,705217
5,4000001878,706550
5,4000001872,706522
5,4000001866,706506
5,4000001865,706509
5,4000001860,146457
5,4000001834,167060
2,773527,706353
2,773514,706345
2,773508,706350
5,4000001787,328123
2,773332,706027
2,772974,705389
2,772837,705152
5,4000001517,705023
2,772580,704811
2,772537,625080
2,772303,704524
5,4000001246,593600
2,772069,423226
2,772061,704253
2,772022,524127
2,771975,703861
2,771969,703857
5,4000001091,703694
2,771435,703428
2,771354,38781
2,771295,703319
2,771031,703098
2,770754,702858
2,770749,702851
2,770469,604486
5,4000000620,588766
2,769491,603224
2,769146,701368
2,769124,701357
5,4000000032,703879
1,1967066851,699079
2,765702,699074
2,765688,699066
2,765674,699051
2,765482,698887
2,765479,698885
2,765302,698777
2,765299,698776
2,765296,698774
1,1967066514,696838
2,764909,696779
