Script start time: '2025-04-30 12:57:14'
```shell
Starting migration from users_settings to users_privacy_settings...
Found 10 shards. Processing each shard...
Processing shard #0...
Fetching settings that need to be migrated...
Processed 203000 records, Migrated: 49868, Skipped: 153132...
Processed 204000 records, Migrated: 50048, Skipped: 153952...
Processed 205000 records, Migrated: 50247, Skipped: 154753...
Processed 206000 records, Migrated: 50487, Skipped: 155513...
Processed 207000 records, Migrated: 50729, Skipped: 156271...
Processed 208000 records, Migrated: 50920, Skipped: 157080...
Processed 209000 records, Migrated: 51133, Skipped: 157867...
Processed 210000 records, Migrated: 51336, Skipped: 158664...
Processed 211000 records, Migrated: 51535, Skipped: 159465...
Processed 212000 records, Migrated: 51782, Skipped: 160218...
Processed 213000 records, Migrated: 52006, Skipped: 160994...
Processed 214000 records, Migrated: 52196, Skipped: 161804...
Processed 215000 records, Migrated: 52420, Skipped: 162580...
Processed 216000 records, Migrated: 52641, Skipped: 163359...
Processed 217000 records, Migrated: 52882, Skipped: 164118...
Processed 218000 records, Migrated: 53094, Skipped: 164906...
Processed 219000 records, Migrated: 53328, Skipped: 165672...
Processed 220000 records, Migrated: 53523, Skipped: 166477...
Processed 221000 records, Migrated: 53751, Skipped: 167249...
Processed 222000 records, Migrated: 53988, Skipped: 168012...
Processed 223000 records, Migrated: 54176, Skipped: 168824...
Processed 224000 records, Migrated: 54426, Skipped: 169574...
Processed 225000 records, Migrated: 54672, Skipped: 170328...
Processed 226000 records, Migrated: 54909, Skipped: 171091...
Processed 227000 records, Migrated: 55095, Skipped: 171905...
Processed 228000 records, Migrated: 55346, Skipped: 172654...
Processed 229000 records, Migrated: 55594, Skipped: 173406...
Processed 230000 records, Migrated: 55826, Skipped: 174174...
Processed 231000 records, Migrated: 56055, Skipped: 174945...
Processed 232000 records, Migrated: 56280, Skipped: 175720...
Processed 233000 records, Migrated: 56505, Skipped: 176495...
Processed 234000 records, Migrated: 56724, Skipped: 177276...
Processed 235000 records, Migrated: 56948, Skipped: 178052...
Processed 236000 records, Migrated: 57137, Skipped: 178863...
Processed 237000 records, Migrated: 57360, Skipped: 179640...
Processed 238000 records, Migrated: 57571, Skipped: 180429...
Processed 239000 records, Migrated: 57784, Skipped: 181216...
Processed 240000 records, Migrated: 57972, Skipped: 182028...
Processed 241000 records, Migrated: 58185, Skipped: 182815...
Processed 242000 records, Migrated: 58418, Skipped: 183582...
Processed 243000 records, Migrated: 58620, Skipped: 184380...
Processed 244000 records, Migrated: 58856, Skipped: 185144...
Processed 245000 records, Migrated: 59064, Skipped: 185936...
Processed 246000 records, Migrated: 59281, Skipped: 186719...
Processed 247000 records, Migrated: 59506, Skipped: 187494...
Processed 248000 records, Migrated: 59712, Skipped: 188288...
Processed 249000 records, Migrated: 59969, Skipped: 189031...
Processed 250000 records, Migrated: 60220, Skipped: 189780...
Processed 251000 records, Migrated: 60479, Skipped: 190521...
Processed 252000 records, Migrated: 60716, Skipped: 191284...
Processed 253000 records, Migrated: 60964, Skipped: 192036...
Processed 254000 records, Migrated: 61153, Skipped: 192847...
Processed 255000 records, Migrated: 61399, Skipped: 193601...
Processed 256000 records, Migrated: 61595, Skipped: 194405...
Processed 257000 records, Migrated: 61872, Skipped: 195128...
Processed 258000 records, Migrated: 62092, Skipped: 195908...
Processed 259000 records, Migrated: 62356, Skipped: 196644...
Processed 260000 records, Migrated: 62595, Skipped: 197405...
Processed 261000 records, Migrated: 62808, Skipped: 198192...
Processed 262000 records, Migrated: 63029, Skipped: 198971...
Processed 263000 records, Migrated: 63308, Skipped: 199692...
Processed 264000 records, Migrated: 63567, Skipped: 200433...
Processed 265000 records, Migrated: 63801, Skipped: 201199...
Processed 266000 records, Migrated: 64065, Skipped: 201935...
Processed 267000 records, Migrated: 64281, Skipped: 202719...
Processed 268000 records, Migrated: 64504, Skipped: 203496...
Processed 269000 records, Migrated: 64765, Skipped: 204235...
Processed 270000 records, Migrated: 65007, Skipped: 204993...
Processed 271000 records, Migrated: 65204, Skipped: 205796...
Processed 272000 records, Migrated: 65432, Skipped: 206568...
Processed 273000 records, Migrated: 65681, Skipped: 207319...
Processed 274000 records, Migrated: 65921, Skipped: 208079...
Processed 275000 records, Migrated: 66148, Skipped: 208852...
Processed 276000 records, Migrated: 66405, Skipped: 209595...
Processed 277000 records, Migrated: 66663, Skipped: 210337...
Processed 278000 records, Migrated: 66920, Skipped: 211080...
Processed 279000 records, Migrated: 67163, Skipped: 211837...
Processed 280000 records, Migrated: 67396, Skipped: 212604...
Processed 281000 records, Migrated: 67600, Skipped: 213400...
Processed 282000 records, Migrated: 67861, Skipped: 214139...
Processed 283000 records, Migrated: 68116, Skipped: 214884...
Processed 284000 records, Migrated: 68319, Skipped: 215681...
Processed 285000 records, Migrated: 68580, Skipped: 216420...
Processed 286000 records, Migrated: 68788, Skipped: 217212...
Processed 287000 records, Migrated: 69026, Skipped: 217974...
Processed 288000 records, Migrated: 69251, Skipped: 218749...
Processed 289000 records, Migrated: 69503, Skipped: 219497...
Processed 290000 records, Migrated: 69722, Skipped: 220278...
Processed 291000 records, Migrated: 70028, Skipped: 220972...
Processed 292000 records, Migrated: 70289, Skipped: 221711...
Processed 293000 records, Migrated: 70519, Skipped: 222481...
Processed 294000 records, Migrated: 70729, Skipped: 223271...
Processed 295000 records, Migrated: 70932, Skipped: 224068...
Processed 296000 records, Migrated: 71157, Skipped: 224843...
Processed 297000 records, Migrated: 71380, Skipped: 225620...
Processed 298000 records, Migrated: 71620, Skipped: 226380...
Processed 299000 records, Migrated: 71855, Skipped: 227145...
Processed 300000 records, Migrated: 72118, Skipped: 227882...
Processed 301000 records, Migrated: 72359, Skipped: 228641...
Processed 302000 records, Migrated: 72610, Skipped: 229390...
Processed 303000 records, Migrated: 72857, Skipped: 230143...
Processed 304000 records, Migrated: 73127, Skipped: 230873...
Processed 305000 records, Migrated: 73380, Skipped: 231620...
Processed 306000 records, Migrated: 73614, Skipped: 232386...
Processed 307000 records, Migrated: 73874, Skipped: 233126...
Processed 308000 records, Migrated: 74119, Skipped: 233881...
Processed 309000 records, Migrated: 74390, Skipped: 234610...
Processed 310000 records, Migrated: 74631, Skipped: 235369...
Processed 311000 records, Migrated: 74844, Skipped: 236156...
Processed 312000 records, Migrated: 75046, Skipped: 236954...
Processed 313000 records, Migrated: 75277, Skipped: 237723...
Processed 314000 records, Migrated: 75556, Skipped: 238444...
Processed 315000 records, Migrated: 75767, Skipped: 239233...
Processed 316000 records, Migrated: 75997, Skipped: 240003...
Processed 317000 records, Migrated: 76284, Skipped: 240716...
Processed 318000 records, Migrated: 76527, Skipped: 241473...
Processed 319000 records, Migrated: 76770, Skipped: 242230...
Processed 320000 records, Migrated: 77057, Skipped: 242943...
Processed 321000 records, Migrated: 77331, Skipped: 243669...
Processed 322000 records, Migrated: 77538, Skipped: 244462...
Processed 323000 records, Migrated: 77813, Skipped: 245187...
Processed 324000 records, Migrated: 78006, Skipped: 245994...
Processed 325000 records, Migrated: 78263, Skipped: 246737...
Processed 326000 records, Migrated: 78524, Skipped: 247476...
Processed 327000 records, Migrated: 78785, Skipped: 248215...
Processed 328000 records, Migrated: 79013, Skipped: 248987...
Processed 329000 records, Migrated: 79253, Skipped: 249747...
Processed 330000 records, Migrated: 79511, Skipped: 250489...
Processed 331000 records, Migrated: 79781, Skipped: 251219...
Processed 332000 records, Migrated: 80055, Skipped: 251945...
Processed 333000 records, Migrated: 80352, Skipped: 252648...
Processed 334000 records, Migrated: 80625, Skipped: 253375...
Processed 335000 records, Migrated: 80850, Skipped: 254150...
Processed 336000 records, Migrated: 81109, Skipped: 254891...
Processed 337000 records, Migrated: 81349, Skipped: 255651...
Processed 338000 records, Migrated: 81646, Skipped: 256354...
Processed 339000 records, Migrated: 81868, Skipped: 257132...
Processed 340000 records, Migrated: 82128, Skipped: 257872...
Processed 341000 records, Migrated: 82351, Skipped: 258649...
Processed 342000 records, Migrated: 82584, Skipped: 259416...
Processed 343000 records, Migrated: 82812, Skipped: 260188...
Processed 344000 records, Migrated: 83055, Skipped: 260945...
Processed 345000 records, Migrated: 83312, Skipped: 261688...
Processed 346000 records, Migrated: 83534, Skipped: 262466...
Processed 347000 records, Migrated: 83773, Skipped: 263227...
Processed 348000 records, Migrated: 83986, Skipped: 264014...
Processed 349000 records, Migrated: 84247, Skipped: 264753...
Processed 350000 records, Migrated: 84458, Skipped: 265542...
Processed 351000 records, Migrated: 84692, Skipped: 266308...
Processed 352000 records, Migrated: 84922, Skipped: 267078...
Processed 353000 records, Migrated: 85174, Skipped: 267826...
Processed 354000 records, Migrated: 85462, Skipped: 268538...
Processed 355000 records, Migrated: 85669, Skipped: 269331...
Processed 356000 records, Migrated: 85876, Skipped: 270124...
Processed 357000 records, Migrated: 86057, Skipped: 270943...
Processed 358000 records, Migrated: 86274, Skipped: 271726...
Processed 359000 records, Migrated: 86518, Skipped: 272482...
Processed 360000 records, Migrated: 86726, Skipped: 273274...
Processed 361000 records, Migrated: 86942, Skipped: 274058...
Processed 362000 records, Migrated: 87189, Skipped: 274811...
Processed 363000 records, Migrated: 87455, Skipped: 275545...
Processed 364000 records, Migrated: 87684, Skipped: 276316...
Processed 365000 records, Migrated: 87901, Skipped: 277099...
Processed 366000 records, Migrated: 88119, Skipped: 277881...
Processed 367000 records, Migrated: 88362, Skipped: 278638...
Processed 368000 records, Migrated: 88422, Skipped: 279578...
Processed 369000 records, Migrated: 88422, Skipped: 280578...
Processed 370000 records, Migrated: 88422, Skipped: 281578...
Processed 371000 records, Migrated: 88485, Skipped: 282515...
Processed 372000 records, Migrated: 88703, Skipped: 283297...
Processed 373000 records, Migrated: 88922, Skipped: 284078...
Processed 374000 records, Migrated: 89122, Skipped: 284878...
Processed 375000 records, Migrated: 89310, Skipped: 285690...
Processed 376000 records, Migrated: 89510, Skipped: 286490...
Processed 377000 records, Migrated: 89732, Skipped: 287268...
Processed 378000 records, Migrated: 89955, Skipped: 288045...
Processed 379000 records, Migrated: 90196, Skipped: 288804...
Processed 380000 records, Migrated: 90376, Skipped: 289624...
Processed 381000 records, Migrated: 90592, Skipped: 290408...
Processed 382000 records, Migrated: 90839, Skipped: 291161...
Processed 383000 records, Migrated: 91066, Skipped: 291934...
Processed 384000 records, Migrated: 91311, Skipped: 292689...
Processed 385000 records, Migrated: 91552, Skipped: 293448...
Processed 386000 records, Migrated: 91804, Skipped: 294196...
Processed 387000 records, Migrated: 91994, Skipped: 295006...
Processed 388000 records, Migrated: 92192, Skipped: 295808...
Processed 389000 records, Migrated: 92409, Skipped: 296591...
Processed 390000 records, Migrated: 92574, Skipped: 297426...
Processed 391000 records, Migrated: 92782, Skipped: 298218...
Processed 392000 records, Migrated: 93002, Skipped: 298998...
Processed 393000 records, Migrated: 93219, Skipped: 299781...
Processed 394000 records, Migrated: 93435, Skipped: 300565...
Processed 395000 records, Migrated: 93615, Skipped: 301385...
Processed 396000 records, Migrated: 93846, Skipped: 302154...
Processed 397000 records, Migrated: 94071, Skipped: 302929...
Processed 398000 records, Migrated: 94291, Skipped: 303709...
Processed 399000 records, Migrated: 94547, Skipped: 304453...
Processed 400000 records, Migrated: 94798, Skipped: 305202...
Processed 401000 records, Migrated: 95024, Skipped: 305976...
Processed 402000 records, Migrated: 95312, Skipped: 306688...
Processed 403000 records, Migrated: 95547, Skipped: 307453...
Processed 404000 records, Migrated: 95758, Skipped: 308242...
Processed 405000 records, Migrated: 95965, Skipped: 309035...
Processed 406000 records, Migrated: 96199, Skipped: 309801...
Processed 407000 records, Migrated: 96424, Skipped: 310576...
Processed 408000 records, Migrated: 96699, Skipped: 311301...
Processed 409000 records, Migrated: 96937, Skipped: 312063...
Processed 410000 records, Migrated: 97167, Skipped: 312833...
Processed 411000 records, Migrated: 97396, Skipped: 313604...
Processed 412000 records, Migrated: 97639, Skipped: 314361...
Processed 413000 records, Migrated: 97865, Skipped: 315135...
Processed 414000 records, Migrated: 98101, Skipped: 315899...
Processed 415000 records, Migrated: 98345, Skipped: 316655...
Processed 416000 records, Migrated: 98621, Skipped: 317379...
Processed 417000 records, Migrated: 98878, Skipped: 318122...
Processed 418000 records, Migrated: 99113, Skipped: 318887...
Processed 419000 records, Migrated: 99365, Skipped: 319635...
Processed 420000 records, Migrated: 99604, Skipped: 320396...
Processed 421000 records, Migrated: 99773, Skipped: 321227...
Processed 422000 records, Migrated: 99913, Skipped: 322087...
Processed 423000 records, Migrated: 100147, Skipped: 322853...
Processed 424000 records, Migrated: 100353, Skipped: 323647...
Processed 425000 records, Migrated: 100609, Skipped: 324391...
Processed 426000 records, Migrated: 100811, Skipped: 325189...
Processed 427000 records, Migrated: 101024, Skipped: 325976...
Processed 428000 records, Migrated: 101236, Skipped: 326764...
Processed 429000 records, Migrated: 101431, Skipped: 327569...
Processed 430000 records, Migrated: 101610, Skipped: 328390...
Processed 431000 records, Migrated: 101784, Skipped: 329216...
Processed 432000 records, Migrated: 101989, Skipped: 330011...
Processed 433000 records, Migrated: 102268, Skipped: 330732...
Processed 434000 records, Migrated: 102449, Skipped: 331551...
Processed 435000 records, Migrated: 102666, Skipped: 332334...
Processed 436000 records, Migrated: 102864, Skipped: 333136...
Processed 437000 records, Migrated: 103089, Skipped: 333911...
Processed 438000 records, Migrated: 103356, Skipped: 334644...
Processed 439000 records, Migrated: 103648, Skipped: 335352...
Processed 440000 records, Migrated: 103873, Skipped: 336127...
Processed 441000 records, Migrated: 104098, Skipped: 336902...
Processed 442000 records, Migrated: 104304, Skipped: 337696...
Processed 443000 records, Migrated: 104575, Skipped: 338425...
Processed 444000 records, Migrated: 104844, Skipped: 339156...
Processed 445000 records, Migrated: 105030, Skipped: 339970...
Processed 446000 records, Migrated: 105280, Skipped: 340720...
Processed 447000 records, Migrated: 105518, Skipped: 341482...
Processed 448000 records, Migrated: 105788, Skipped: 342212...
Processed 449000 records, Migrated: 106026, Skipped: 342974...
Processed 450000 records, Migrated: 106313, Skipped: 343687...
Processed 451000 records, Migrated: 106557, Skipped: 344443...
Processed 452000 records, Migrated: 106827, Skipped: 345173...
Processed 453000 records, Migrated: 107070, Skipped: 345930...
Processed 454000 records, Migrated: 107295, Skipped: 346705...
Processed 455000 records, Migrated: 107542, Skipped: 347458...
Processed 456000 records, Migrated: 107771, Skipped: 348229...
Processed 457000 records, Migrated: 108021, Skipped: 348979...
Processed 458000 records, Migrated: 108249, Skipped: 349751...
Processed 459000 records, Migrated: 108517, Skipped: 350483...
Processed 460000 records, Migrated: 108739, Skipped: 351261...
Processed 461000 records, Migrated: 108947, Skipped: 352053...
Processed 462000 records, Migrated: 109209, Skipped: 352791...
Processed 463000 records, Migrated: 109442, Skipped: 353558...
Processed 464000 records, Migrated: 109666, Skipped: 354334...
Processed 465000 records, Migrated: 109877, Skipped: 355123...
Processed 466000 records, Migrated: 110080, Skipped: 355920...
Processed 467000 records, Migrated: 110278, Skipped: 356722...
Processed 468000 records, Migrated: 110493, Skipped: 357507...
Processed 469000 records, Migrated: 110700, Skipped: 358300...
Processed 470000 records, Migrated: 110892, Skipped: 359108...
Processed 471000 records, Migrated: 111138, Skipped: 359862...
Processed 472000 records, Migrated: 111380, Skipped: 360620...
Processed 473000 records, Migrated: 111619, Skipped: 361381...
Processed 474000 records, Migrated: 111875, Skipped: 362125...
Processed 475000 records, Migrated: 112100, Skipped: 362900...
Processed 476000 records, Migrated: 112356, Skipped: 363644...
Processed 477000 records, Migrated: 112591, Skipped: 364409...
Processed 478000 records, Migrated: 112847, Skipped: 365153...
Processed 479000 records, Migrated: 113105, Skipped: 365895...
Processed 480000 records, Migrated: 113347, Skipped: 366653...
Processed 481000 records, Migrated: 113567, Skipped: 367433...
Processed 482000 records, Migrated: 113813, Skipped: 368187...
Processed 483000 records, Migrated: 114057, Skipped: 368943...
Processed 484000 records, Migrated: 114306, Skipped: 369694...
Processed 485000 records, Migrated: 114525, Skipped: 370475...
Processed 486000 records, Migrated: 114745, Skipped: 371255...
Processed 487000 records, Migrated: 114970, Skipped: 372030...
Processed 488000 records, Migrated: 115214, Skipped: 372786...
